segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
362,24000.0,24060.0,60.0,2,1,1,0.25,0.25,1.0
363,24060.0,24120.0,60.0,2,1,1,0.2,0.2,1.0
364,24120.0,24180.0,60.0,2,1,1,0.2,0.2,1.0
365,24180.0,24240.0,60.0,2,2,2,0.55,0.55,1.0
366,24240.0,24300.0,60.0,2,2,2,0.55,0.55,1.0
367,24300.0,24360.0,60.0,2,1,1,0.35,0.35,1.0
368,24360.0,24420.0,60.0,2,1,1,0.35,0.35,1.0
369,24420.0,24480.0,60.0,2,0,0,0.0,0.0,
370,24480.0,24540.0,60.0,2,1,1,0.25,0.25,1.0
371,24540.0,24600.0,60.0,2,1,1,0.25,0.25,1.0
372,24600.0,24634.557,34.5570000000007,2,1,1,0.25,0.25,1.0
373,24634.557,24660.0,25.4429999999993,1,1,0,0.25,0.0,0.0
374,24660.0,24720.0,60.0,1,2,1,0.45,0.2,0.4444444444444445
375,24720.0,24840.0,120.0,1,1,1,0.2,0.2,1.0
376,24840.0,24900.0,60.0,1,2,2,0.55,0.55,1.0
377,24900.0,24960.0,60.0,1,2,2,0.55,0.55,1.0
378,24960.0,25080.0,120.0,1,1,1,0.35,0.35,1.0
379,25080.0,25140.0,60.0,1,1,1,0.25,0.25,1.0
380,25140.0,25200.0,60.0,1,1,1,0.25,0.25,1.0
381,25200.0,25260.0,60.0,1,1,1,0.25,0.25,1.0
382,25260.0,25320.0,60.0,1,1,1,0.25,0.25,1.0
383,25320.0,25380.0,60.0,1,2,2,0.45,0.45,1.0
384,25380.0,25440.0,60.0,1,1,1,0.2,0.2,1.0
385,25440.0,25500.0,60.0,1,2,2,0.55,0.55,1.0
386,25500.0,25560.0,60.0,1,2,2,0.55,0.55,1.0
387,25560.0,25620.0,60.0,1,1,1,0.35,0.35,1.0
388,25620.0,25680.0,60.0,1,0,0,0.0,0.0,
389,25680.0,25740.0,60.0,1,0,0,0.0,0.0,
390,25740.0,25800.0,60.0,1,1,1,0.25,0.25,1.0
391,25800.0,25860.0,60.0,1,1,1,0.25,0.25,1.0
392,25860.0,25920.0,60.0,1,1,1,0.25,0.25,1.0
393,25920.0,25980.0,60.0,1,2,2,0.45,0.45,1.0
394,25980.0,26100.0,120.0,1,1,1,0.2,0.2,1.0
395,26100.0,26160.0,60.0,1,1,1,0.2,0.2,1.0
396,26160.0,26220.0,60.0,1,0,0,0.0,0.0,
397,26220.0,26340.0,120.0,1,0,0,0.0,0.0,
398,26340.0,26400.0,60.0,1,0,0,0.0,0.0,
399,26400.0,26460.0,60.0,1,1,1,0.25,0.25,1.0
400,26460.0,26520.0,60.0,1,1,1,0.25,0.25,1.0
401,26520.0,26580.0,60.0,1,1,1,0.25,0.25,1.0
402,26580.0,26640.0,60.0,1,1,1,0.2,0.2,1.0
403,26640.0,26700.0,60.0,1,1,1,0.2,0.2,1.0
404,26700.0,26760.0,60.0,1,1,1,0.2,0.2,1.0
405,26760.0,26820.0,60.0,1,0,0,0.0,0.0,
406,26820.0,26880.0,60.0,1,0,0,0.0,0.0,
407,26880.0,26940.0,60.0,1,0,0,0.0,0.0,
408,26940.0,27000.0,60.0,1,0,0,0.0,0.0,
409,27000.0,27060.0,60.0,1,1,1,0.25,0.25,1.0
410,27060.0,27120.0,60.0,1,1,1,0.25,0.25,1.0
411,27120.0,27180.0,60.0,1,1,1,0.25,0.25,1.0
412,27180.0,27240.0,60.0,1,0,0,0.0,0.0,
413,27240.0,27360.0,120.0,1,0,0,0.0,0.0,
414,27360.0,27391.5,31.5,1,0,0,0.0,0.0,
415,27391.5,27420.0,28.5,0,0,0,0.0,0.0,
416,27420.0,27480.0,60.0,0,0,0,0.0,0.0,
417,27480.0,27600.0,120.0,0,0,0,0.0,0.0,
418,27600.0,27660.0,60.0,0,0,0,0.0,0.0,
419,27660.0,27720.0,60.0,0,0,0,0.0,0.0,
420,27720.0,27780.0,60.0,0,0,0,0.0,0.0,
421,27780.0,27821.69,41.68999999999869,0,0,0,0.0,0.0,
422,27821.69,27840.0,18.31000000000131,1,0,0,0.0,0.0,
423,27840.0,27900.0,60.0,1,0,0,0.0,0.0,
424,27900.0,27960.0,60.0,1,0,0,0.0,0.0,
425,27960.0,28020.0,60.0,1,0,0,0.0,0.0,
426,28020.0,28080.0,60.0,1,0,0,0.0,0.0,
427,28080.0,28140.0,60.0,1,0,0,0.0,0.0,
428,28140.0,28200.0,60.0,1,0,0,0.0,0.0,
429,28200.0,28260.0,60.0,1,0,0,0.0,0.0,
430,28260.0,28320.0,60.0,1,0,0,0.0,0.0,
431,28320.0,28380.0,60.0,1,0,0,0.0,0.0,
432,28380.0,28440.0,60.0,1,0,0,0.0,0.0,
433,28440.0,28500.0,60.0,1,0,0,0.0,0.0,
434,28500.0,28620.0,120.0,1,0,0,0.0,0.0,
435,28620.0,28680.0,60.0,1,0,0,0.0,0.0,
436,28680.0,28740.0,60.0,1,0,0,0.0,0.0,
