segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
283,18600.0,18660.0,60.0,2,0,0,0.0,0.0,
284,18660.0,18780.0,120.0,2,0,0,0.0,0.0,
285,18780.0,18840.0,60.0,2,0,0,0.0,0.0,
286,18840.0,18900.0,60.0,2,0,0,0.0,0.0,
287,18900.0,18960.0,60.0,2,0,0,0.0,0.0,
288,18960.0,19020.0,60.0,2,0,0,0.0,0.0,
289,19020.0,19080.0,60.0,2,0,0,0.0,0.0,
290,19080.0,19140.0,60.0,2,0,0,0.0,0.0,
291,19140.0,19200.0,60.0,2,0,0,0.0,0.0,
292,19200.0,19260.0,60.0,2,0,0,0.0,0.0,
293,19260.0,19320.0,60.0,2,0,0,0.0,0.0,
294,19320.0,19380.0,60.0,2,0,0,0.0,0.0,
295,19380.0,19440.0,60.0,2,0,0,0.0,0.0,
296,19440.0,19500.0,60.0,2,1,1,0.2,0.2,1.0
297,19500.0,19560.0,60.0,2,1,1,0.2,0.2,1.0
298,19560.0,19620.0,60.0,2,1,1,0.2,0.2,1.0
299,19620.0,19680.0,60.0,2,0,0,0.0,0.0,
300,19680.0,19788.726,108.72599999999875,2,0,0,0.0,0.0,
301,19788.726,19800.0,11.274000000001251,1,0,0,0.0,0.0,
302,19800.0,19860.0,60.0,1,0,0,0.0,0.0,
303,19860.0,19920.0,60.0,1,0,0,0.0,0.0,
304,19920.0,20040.0,120.0,1,0,0,0.0,0.0,
305,20040.0,20100.0,60.0,1,1,0,0.2,0.0,0.0
306,20100.0,20160.0,60.0,1,1,0,0.2,0.0,0.0
307,20160.0,20210.744,50.74399999999878,1,1,0,0.2,0.0,0.0
308,20210.744,20220.0,9.256000000001222,2,1,1,0.2,0.2,1.0
309,20220.0,20280.0,60.0,2,1,1,0.2,0.2,1.0
310,20280.0,20340.0,60.0,2,0,0,0.0,0.0,
311,20340.0,20400.0,60.0,2,0,0,0.0,0.0,
312,20400.0,20460.0,60.0,2,0,0,0.0,0.0,
313,20460.0,20478.455,18.455000000001746,2,0,0,0.0,0.0,
314,20478.455,20520.0,41.544999999998254,1,0,0,0.0,0.0,
315,20520.0,20580.0,60.0,1,0,0,0.0,0.0,
316,20580.0,20640.0,60.0,1,0,0,0.0,0.0,
317,20640.0,20700.0,60.0,1,1,1,0.2,0.2,1.0
318,20700.0,20760.0,60.0,1,1,1,0.2,0.2,1.0
319,20760.0,20820.0,60.0,1,1,1,0.2,0.2,1.0
320,20820.0,20880.0,60.0,1,1,1,0.2,0.2,1.0
321,20880.0,20940.0,60.0,1,0,0,0.0,0.0,
322,20940.0,21060.0,120.0,1,0,0,0.0,0.0,
323,21060.0,21120.0,60.0,1,0,0,0.0,0.0,
324,21120.0,21180.0,60.0,1,0,0,0.0,0.0,
325,21180.0,21300.0,120.0,1,0,0,0.0,0.0,
326,21300.0,21360.0,60.0,1,1,1,0.2,0.2,1.0
327,21360.0,21420.0,60.0,1,1,1,0.2,0.2,1.0
328,21420.0,21480.0,60.0,1,1,1,0.2,0.2,1.0
329,21480.0,21540.0,60.0,1,1,1,0.2,0.2,1.0
330,21540.0,21600.0,60.0,1,0,0,0.0,0.0,
331,21600.0,21660.0,60.0,1,0,0,0.0,0.0,
332,21660.0,21720.0,60.0,1,0,0,0.0,0.0,
333,21720.0,21780.0,60.0,1,1,0,0.35,0.0,0.0
334,21780.0,21840.0,60.0,1,1,0,0.35,0.0,0.0
335,21840.0,21900.0,60.0,1,0,0,0.0,0.0,
336,21900.0,21960.0,60.0,1,1,1,0.2,0.2,1.0
337,21960.0,22020.0,60.0,1,1,1,0.2,0.2,1.0
338,22020.0,22080.0,60.0,1,1,1,0.2,0.2,1.0
339,22080.0,22140.0,60.0,1,1,1,0.2,0.2,1.0
340,22140.0,22200.0,60.0,1,0,0,0.0,0.0,
